CCLE Cell Line Name,Primary Cell Line Name,Compound,Target,Doses (uM),Activity Data (median),Activity SD,Num Data,FitType,EC50 (uM),IC50 (uM),Amax,ActArea
CAL851_BREAST,CAL-85-1,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","5.53,-1.6,-33,10.7,-3.4,-36,-57,-70","4.08,.93,49.1,21.3,6.56,4.17,.46,2.45",8,Sigmoid,0.876570761,1.580660701,-69.51208496,1.7728
CAMA1_BREAST,CAMA-1,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","8.30,-12,1.08,8.22,-4.7,2.49,14.8,-8.3","20.6,1.51,25.2,5.76,8.21,7.22,5.13,1.96",8,Constant,NA,8,-0.762968242,0.1606
EFM19_BREAST,EFM-19,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","-6.7,4.11,-12,-2.1,-27,-34,-41,-55","11.1,10.6,7.39,15.0,.87,2.53,2.83,1.68",8,Sigmoid,8.105140426,5.352694511,-53.83574677,1.2611
HCC1187_BREAST,HCC1187,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","-17,-1.1,-5.7,5.72,-5.0,-8.6,-11,-29","3.00,5.52,2.50,16.8,2.13,3.11,8.04,10.6",8,Sigmoid,8.486227374,8,-29.03898239,0.3754
HCC1395_BREAST,HCC1395,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","-12,19.8,-36,-18,-13,-1.7,-40,-31","9.17,8.12,8.21,22.2,19.1,.18,19.8,8.36",8,Constant,NA,8,-21.66063118,1.8946
HCC1569_BREAST,HCC1569,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","-14,4.98,6.75,6.11,6.76,9.32,-19,-23","1.27,13.7,2.31,3.69,3.95,15.6,20.0,1.82",8,Sigmoid,1.95031023,8,-23.24701118,0.4595
HCC1806_BREAST,HCC1806,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","17.8,-3.3,10.4,-2.9,-9.0,-51,-62,-72","13.6,15.5,5.37,26.2,9.44,.85,3.36,1.20",8,Sigmoid,0.431944311,0.794987917,-68.49586487,2.0485
HCC1954_BREAST,HCC1954,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","-2.9,-12,11.2,-2.9,-1.9,-35,-55,-80","18.6,12.9,10.1,6.12,2.63,8.69,1.31,3.36",8,Sigmoid,1.541207671,1.940425873,-79.07642365,1.6338
HCC70_BREAST,HCC70,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","-14,34.9,8.93,16.8,-6.9,-1.1,-19,-31","8.77,25.3,11.7,15.9,9.66,3.34,9.71,11.0",8,Linear,NA,8,-25.33459854,0.571
HDQP1_BREAST,HDQ-P1,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","-15,4.01,1.48,-9.3,-24,-49,-57,-72","17.0,1.23,7.07,13.2,12.3,4.12,14.3,6.44",8,Sigmoid,0.42085582,0.906933963,-69.63291168,2.1889
