"unified_id"	"native_id"	"alt_id"	"id_type"	"tissue"	"hist_primary"	"hist_secondary"	"match_id"
"SHP77_LUNG"	"SHP-77"	"724872"	"gdsc"	"lung"	"lung_small_cell_carcinoma"	NA	"SHP77"
"SHP77_LUNG"	"SHP-77"	NA	"eurofins"	"lung"	"carcinoma"	"small_cell_carcinoma"	"SHP77"
"SKBR3_BREAST"	"SKBR3_BREAST"	"SK-BR-3"	"CCLE"	"breast"	"carcinoma"	"NS"	"SKBR3"
"SKBR3_BREAST"	"SK-BR-3"	NA	"eurofins"	"breast"	"carcinoma"	"NS"	"SKBR3"
"SKLU1_LUNG"	"SKLU1_LUNG"	"SK-LU-1"	"CCLE"	"lung"	"carcinoma"	"adenocarcinoma"	"SKLU1"
"SKLU1_LUNG"	"SK-LU-1"	NA	"cosmic_clp"	"lung"	"carcinoma"	"adenocarcinoma"	"SKLU1"
"SKLU1_LUNG"	"SK-LU-1"	"909721"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"SKLU1"
"SKMES1_LUNG"	"SKMES1_LUNG"	"SK-MES-1"	"CCLE"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"SKMES1"
"SKMES1_LUNG"	"SK-MES-1"	NA	"cosmic_clp"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"SKMES1"
"SKMES1_LUNG"	"SK-MES-1"	"909728"	"gdsc"	"lung"	"lung_NSCLC_squamous_cell_carcinoma"	NA	"SKMES1"
